station;latitude;longitude;date;ca;mg;na;k;hco3;cl;so4
F_0795;;;2019-05-22;105.0;21.7;36.4;3.3;384.0;68.4;101.0
F_0795;;;2020-05-05;74.3;22.2;45.0;3.8;269.0;36.3;55.8
F_0795;;;2021-04-27;90.3;18.8;41.0;3.4;256.0;64.6;99.1
F_0795;;;2022-05-17;97.6;21.4;46.2;3.52;266.0;68.8;97.8
F_0799;47.58920454361265;7.655335075337354;2019-05-21;119.0;21.0;12.4;0.84;444.0;27.1;50.8
F_0799;;;2020-05-05;121.0;25.8;14.0;1.1;414.0;65.8;95.8
F_0799;;;2021-04-28;125.0;21.0;13.0;0.86;415.0;34.7;55.7
F_0799;;;2022-05-17;132.0;22.2;13.7;0.93;430.0;30.6;47.0
F_0801;47.58920454361265;7.655335075337354;2019-05-21;139.0;21.3;11.8;1.5;465.0;31.6;55.5
F_0801;47.589556899851736;7.651688955620735;2020-05-05;138.0;22.7;16.0;2.1;445.0;31.6;56.2
F_0801;47.58920454361265;7.655335075337354;2021-04-27;130.0;22.0;14.0;1.6;431.0;30.5;51.8
F_0801;;;2022-05-17;140.0;22.8;14.8;1.55;441.0;31.7;53.4
F_1026;;;2019-05-21;116.0;20.9;33.2;3.5;324.0;70.6;106.0
F_1026;;;2020-05-05;111.0;24.1;37.0;4.6;304.0;72.5;104.0
F_1026;;;2021-04-27;113.0;21.8;37.0;3.7;301.0;74.7;104.0
F_1026;;;2022-05-17;114.0;23.1;39.4;3.64;306.0;73.9;99.1
F_1057;;;2019-05-21;109.0;15.0;13.7;4.6;358.0;36.3;56.9
F_1057;;;2020-05-05;108.0;20.1;19.0;5.9;349.0;40.9;64.3
F_1057;;;2021-04-27;110.0;16.5;20.0;5.1;331.0;38.8;65.9
F_1057;;;2022-05-17;115.0;18.0;21.5;5.4;350.0;39.5;66.9
F_1061;;;2019-05-20;106.0;15.0;23.0;3.0;343.0;36.3;58.2
F_1061;;;2020-05-04;124.0;15.7;28.0;3.2;367.0;40.4;64.5
F_1061;;;2021-04-26;103.0;13.7;24.0;3.0;337.0;35.4;57.9
F_1061;;;2022-05-16;92.5;13.4;21.0;2.79;298.0;28.4;48.8
F_1068;;;2019-05-21;128.0;19.3;10.1;0.81;424.0;27.1;66.7
F_1068;;;2020-05-05;126.0;24.1;14.0;1.2;429.0;26.2;62.8
F_1068;;;2021-04-27;131.0;21.0;12.0;0.94;413.0;28.0;67.5
F_1068;;;2022-05-17;130.0;22.8;12.6;1.02;407.0;28.2;67.2
F_1294;;;2019-05-20;76.0;10.7;11.0;2.6;266.0;15.0;28.8
F_1294;;;2020-04-29;79.5;8.8;9.4;2.2;255.0;15.7;29.5
F_1294;;;2021-04-27;72.5;9.6;11.0;2.4;249.0;12.9;27.8
F_1294;;;2022-05-16;69.1;10.6;12.4;2.56;248.0;15.2;26.9
F_1305;;;2019-05-20;109.0;14.0;24.0;2.9;357.0;32.8;56.0
F_1305;;;2020-05-04;97.4;15.1;24.0;3.1;342.0;32.4;59.9
F_1305;;;2021-04-26;110.0;13.4;26.0;2.8;346.0;32.5;59.8
F_1305;;;2022-05-16;102.0;14.2;26.7;3.4;336.0;29.3;55.6
F_1316;;;2019-05-20;76.8;10.5;31.0;6.0;234.0;48.3;55.6
F_1316;;;2020-05-04;51.5;7.0;21.0;6.4;178.0;22.5;38.2
F_1392;;;2019-05-22;75.1;8.3;30.0;3.9;328.0;30.1;24.8
F_1392;;;2020-05-06;66.6;9.7;16.0;4.0;216.0;21.3;30.7
F_1392;;;2021-04-28;97.0;10.1;28.0;4.1;334.0;47.0;29.3
F_1392;;;2022-05-18;148.0;19.1;73.8;5.25;406.0;186.0;27.8
F_1435;;;2019-05-20;89.9;12.6;24.0;3.4;291.0;40.6;52.1
F_1435;;;2020-05-04;93.4;12.6;31.0;3.6;275.0;43.2;52.5
F_1435;;;2021-04-26;75.9;9.9;24.0;3.1;240.0;32.8;46.3
F_1435;;;2022-05-16;78.1;12.0;27.4;3.55;244.0;38.6;49.5
F_1520;;;2019-05-20;59.5;6.1;12.0;3.1;201.0;16.3;24.6
F_1520;;;2020-05-04;55.5;6.5;13.0;3.0;201.0;10.5;17.2
F_1520;;;2021-04-26;63.2;6.2;13.0;3.2;217.0;13.0;22.4
F_1520;;;2022-05-18;52.4;6.1;11.3;2.85;197.0;11.5;18.1
F_1871;;;2019-05-22;85.3;7.4;25.0;12.0;233.0;47.4;66.4
F_1871;;;2020-05-06;85.8;10.9;29.0;14.0;266.0;36.9;65.8
F_1871;;;2021-04-26;106.0;12.2;40.0;11.0;293.0;66.6;77.7
F_1871;;;2022-05-18;101.0;12.8;42.1;10.7;291.0;64.6;74.1
